feature,label,modal_value,modal_share
NoOfObfuscatedChar,1,0.0,1.0
ObfuscationRatio,1,0.0,1.0
HasObfuscation,1,0.0,1.0
IsDomainIP,1,0.0,1.0
NoOfAmpersandInURL,1,0.0,1.0
IsHTTPS,1,1.0,1.0
NoOfEqualsInURL,1,0.0,1.0
NoOfQMarkInURL,1,0.0,1.0
URLSimilarityIndex,1,100.0,1.0
HasTitle,1,1.0,0.9987541713014461
HasExternalFormSubmit,0,0.0,0.9957321925984879
ObfuscationRatio,0,0.0,0.9951949860724234
HasObfuscation,0,0.0,0.9951949860724234
NoOfObfuscatedChar,0,0.0,0.9951949860724234
HasSocialNet,0,0.0,0.99491643454039
NoOfPopup,0,0.0,0.9948070035813769
Crypto,0,0.0,0.993991245523279
IsDomainIP,0,0.0,0.9936729009152407
NoOfAmpersandInURL,0,0.0,0.9912156784719459
NoOfDegitsInURL,1,0.0,0.9736002966258807
DegitRatioInURL,1,0.0,0.9736002966258807
NoOfSelfRedirect,1,0.0,0.9728735632183908
NoOfEmptyRef,0,0.0,0.9728511738957422
Crypto,1,0.0,0.9634779384501297
HasDescription,0,0.0,0.9559391165937127
NoOfiFrame,0,0.0,0.9513529645841624
HasPasswordField,0,0.0,0.9466971746916036
NoOfEqualsInURL,0,0.0,0.9463290887385595
Bank,0,0.0,0.9456923995224831
HasCopyrightInfo,0,0.0,0.9427576601671309
NoOfSelfRedirect,0,0.0,0.9424094707520891
Pay,0,0.0,0.9399920413847991
NoOfQMarkInURL,0,0.0,0.9390966971746916
Robots,0,0.0,0.9342021488261043
HasExternalFormSubmit,1,0.0,0.9262810530218761
HasSubmitButton,0,0.0,0.9156088340628731
HasFavicon,0,0.0,0.9125945085555114
HasHiddenFields,0,0.0,0.9069637883008357
NoOfPopup,1,0.0,0.9044493882091212
NoOfURLRedirect,1,0.0,0.8802298850574712
HasPasswordField,1,0.0,0.8615127919911012
IsResponsive,1,1.0,0.8543641082684464
NoOfSubDomain,1,1.0,0.8517686318131257
NoOfURLRedirect,0,0.0,0.8483386390768006
NoOfImage,0,0.0,0.835316354954238
Bank,1,0.0,0.8184575454208379
HasCopyrightInfo,1,1.0,0.8082387838338895
NoOfCSS,0,0.0,0.8040688420214882
DomainTitleMatchScore,0,0.0,0.8024174293672901
HasSocialNet,1,1.0,0.7945569150908417
NoOfOtherSpecialCharsInURL,1,1.0,0.7861846496106786
NoOfSelfRef,0,0.0,0.7853959411062476
CharContinuationRate,1,1.0,0.7798368557656655
NoOfJS,0,0.0,0.7723438121766812
URLTitleMatchScore,0,0.0,0.7380222841225627
HasDescription,1,1.0,0.7366332962550982
DomainTitleMatchScore,1,100.0,0.7299888765294772
URLTitleMatchScore,1,100.0,0.7299888765294772
TLDLength,1,3.0,0.6920578420467186
IsResponsive,0,0.0,0.682958615200955
HasTitle,0,1.0,0.6772383605252686
HasSubmitButton,1,1.0,0.660882461994809
Pay,1,0.0,0.6306340378197998
TLDLength,0,3.0,0.6302626343016315
NoOfSubDomain,0,1.0,0.6295364106645444
HasHiddenFields,1,1.0,0.5907823507601038
Robots,1,0.0,0.583262884686689
HasFavicon,1,1.0,0.5670226177233963
NoOfExternalRef,0,0.0,0.5479009152407481
NoOfDegitsInURL,0,0.0,0.5260843613211301
DegitRatioInURL,0,0.0,0.5260843613211301
TLDLegitimateProb,1,0.5229071,0.5100852799406749
IsHTTPS,0,0.0,0.508774373259053
NoOfEmptyRef,1,0.0,0.48326288468668893
NoOfiFrame,1,0.0,0.453578049684835
TLDLegitimateProb,0,0.5229071,0.4337146836450458
CharContinuationRate,0,1.0,0.3453541583764425
LineOfCode,0,2.0,0.26144050935137286
NoOfOtherSpecialCharsInURL,0,1.0,0.24852765618782333
NoOfCSS,1,2.0,0.10732665925101965
URLLength,1,25.0,0.08281053021876159
DomainLength,1,18.0,0.08281053021876159
LargestLineLength,1,9381.0,0.08238783833889507
NoOfLettersInURL,1,12.0,0.08183908045977012
LetterRatioInURL,1,0.5,0.07882832777159807
SpacialCharRatioInURL,1,0.04,0.06522803114571746
LargestLineLength,0,8125.0,0.06191802626343016
DomainLength,0,18.0,0.05412853163549542
URLLength,0,26.0,0.04705531237564664
NoOfLettersInURL,0,16.0,0.04642857142857143
NoOfJS,1,7.0,0.04435298479792362
LetterRatioInURL,0,0.5,0.04401114206128134
NoOfSelfRef,1,0.0,0.03757508342602892
SpacialCharRatioInURL,0,0.045,0.03154596100278551
NoOfImage,1,11.0,0.02224694104560623
NoOfExternalRef,1,11.0,0.01790137189469781
URLSimilarityIndex,0,100.0,0.007819339434938321
URLCharProb,0,0.057332856,0.0008754476721050537
LineOfCode,1,527.0,0.0008083055246570263
URLCharProb,1,0.045142614,2.9662588060808306e-05
