model,feature_set,n_features,n_train,n_test,accuracy,precision,recall,f1,roc_auc,seed,timestamp_utc,elapsed_seconds,confusion_matrix.tn,confusion_matrix.fp,confusion_matrix.fn,confusion_matrix.tp,cv_f1_mean,cv_f1_sd,phishing_precision,phishing_recall,phishing_f1
baseline_majority,full,50,176527,58843,0.5729313597199327,0.5729313597199327,1.0,0.7284886987337396,0.5,42,2026-09-15T20:09:14.572296+00:00,0.0625916999997571,0,25130,0,33713,,,0.0,0.0,0.0
logistic_regression,full,50,176527,58843,0.9999320225005524,0.9998813654832872,1.0,0.999940679222898,0.9999999834751264,42,2026-09-15T20:09:15.808720+00:00,4.109722799970768,25126,4,0,33713,0.9998764215231016,3.907597072856295e-05,1.0,0.9998408276959809,0.9999204075135307
decision_tree,full,50,176527,58843,1.0,1.0,1.0,1.0,1.0,42,2026-09-15T20:09:19.926877+00:00,2.318285599991213,25130,0,0,33713,0.999995056235323,1.1054593882114933e-05,1.0,1.0,1.0
random_forest,full,50,176527,58843,1.0,1.0,1.0,1.0,1.0,42,2026-09-15T20:09:42.140448+00:00,94.48300459998428,25130,0,0,33713,0.999995056235323,1.1054593882114933e-05,1.0,1.0,1.0
baseline_majority,no_derived,44,176527,58843,0.5729313597199327,0.5729313597199327,1.0,0.7284886987337396,0.5,42,2026-09-15T20:10:55.849960+00:00,0.0971432999940589,0,25130,0,33713,,,0.0,0.0,0.0
logistic_regression,no_derived,44,176527,58843,0.9992522475060754,0.999051374025435,0.9996440542224068,0.9993476262491474,0.9999944759708213,42,2026-09-15T20:10:57.195976+00:00,4.971756900020409,25098,32,12,33701,0.99936239973944,0.0001445160257883,0.9995221027479092,0.9987266215678472,0.999124203821656
decision_tree,no_derived,44,176527,58843,0.9989973318831468,0.9994657168299198,0.9987838519265564,0.9991246680414818,0.9990337882792352,42,2026-09-15T20:11:06.550003+00:00,12.29052589996718,25112,18,41,33672,0.9990557159971428,0.0001587144313449,0.9983699757484197,0.9992837246319141,0.9988266412107472
random_forest,no_derived,44,176527,58843,0.9998640450011046,0.999822048224931,0.9999406757037343,0.9998813584457956,0.9999997361921964,42,2026-09-15T20:11:45.989572+00:00,146.46963659999892,25124,6,2,33711,0.9998764093036876,6.054863190439832e-05,0.9999204011780626,0.9997612415439714,0.9998408150270615
baseline_majority,url_only,18,176527,58843,0.5729313597199327,0.5729313597199327,1.0,0.7284886987337396,0.5,42,2026-09-15T20:13:40.213370+00:00,0.1181289000087417,0,25130,0,33713,,,0.0,0.0,0.0
logistic_regression,url_only,18,176527,58843,0.9958873612834152,0.99316340061883,0.9997033785186724,0.9964226584673604,0.9981347365956984,42,2026-09-15T20:13:41.299435+00:00,3.3741954999859445,24898,232,10,33703,0.9966289689275218,0.0002487694975562,0.9995985225630319,0.9907680063668921,0.9951636756065391
decision_tree,url_only,18,176527,58843,0.997212922522645,0.9957736072114676,0.999377094889212,0.9975720968792562,0.996726974940466,42,2026-09-15T20:13:44.516140+00:00,2.031811299966648,24987,143,21,33692,0.99745771287449,0.0002379236550661,0.9991602687140115,0.9943095901313171,0.9967290278830429
random_forest,url_only,18,176527,58843,0.9972809000220928,0.9958620281973222,0.9994067570373446,0.9976312438930508,0.9981120089927416,42,2026-09-15T20:14:05.664418+00:00,105.75570409995272,24990,140,20,33693,0.997605986533938,0.0001363824996425,0.9992003198720512,0.9944289693593314,0.9968089349820503
