feature,single_feature_accuracy,flagged
URLSimilarityIndex,0.9966605769639292,True
NoOfExternalRef,0.961341717296172,True
LineOfCode,0.9553638951438161,True
NoOfSelfRef,0.9485151038789991,False
NoOfImage,0.9426392488422484,False
NoOfJS,0.9316692866550538,False
NoOfCSS,0.9050431235926414,False
HasSocialNet,0.8801249097166164,False
HasCopyrightInfo,0.8656880655988444,False
HasDescription,0.8302927305943834,False
LargestLineLength,0.8239707694268599,False
NoOfOtherSpecialCharsInURL,0.7952840209032587,False
DomainTitleMatchScore,0.7907337383693759,False
IsHTTPS,0.7902111569018991,False
IsResponsive,0.7811615753919361,False
URLTitleMatchScore,0.7706887028933169,False
HasSubmitButton,0.7696690317372648,False
DegitRatioInURL,0.7601988358754301,False
NoOfDegitsInURL,0.7601988358754301,False
SpacialCharRatioInURL,0.7474699409440455,False
URLLength,0.742435314611038,False
NoOfLettersInURL,0.730522156604495,False
CharContinuationRate,0.7263712452733994,False
HasHiddenFields,0.7258146747673875,False
URLCharProb,0.7205506224242682,False
NoOfiFrame,0.7193567574457238,False
LetterRatioInURL,0.7160768152270892,False
HasFavicon,0.7146067893104474,False
NoOfEmptyRef,0.7115307813230233,False
HasTitle,0.7100565067765645,False
TLDLegitimateProb,0.6659472320176743,False
DomainLength,0.6606704337851043,False
Robots,0.6377320814037473,False
NoOfSubDomain,0.6320006797807707,False
Pay,0.6130645366869185,False
TLDLength,0.5997705739898883,False
NoOfQMarkInURL,0.598937842545779,False
NoOfEqualsInURL,0.5958490886689043,False
NoOfSelfRedirect,0.5819815609465947,False
NoOfAmpersandInURL,0.5766792709351234,False
IsDomainIP,0.575629859370353,False
NoOfObfuscatedChar,0.5749798190083698,False
ObfuscationRatio,0.5749798190083698,False
HasObfuscation,0.5749798190083698,False
NoOfPopup,0.5729277308068148,False
NoOfURLRedirect,0.5729277308068148,False
Bank,0.5729277308068148,False
HasPasswordField,0.5729277308068148,False
HasExternalFormSubmit,0.5729277308068148,False
Crypto,0.5729277308068148,False
