features,model,phishing_precision,phishing_recall,phishing_f1,balanced_accuracy,missed_phishing,false_alerts
full,baseline_majority,0.0,0.0,0.0,0.5,25130,0
full,decision_tree,1.0,1.0,1.0,1.0,0,0
full,logistic_regression,1.0,0.9998408276959809,0.9999204075135307,0.9999204138479905,4,0
full,random_forest,1.0,1.0,1.0,1.0,0,0
no_derived,baseline_majority,0.0,0.0,0.0,0.5,25130,0
no_derived,decision_tree,0.9983699757484197,0.9992837246319141,0.9988266412107472,0.9990337882792353,18,41
no_derived,logistic_regression,0.9995221027479092,0.9987266215678472,0.999124203821656,0.999185337895127,32,12
no_derived,random_forest,0.9999204011780626,0.9997612415439714,0.9998408150270615,0.9998509586238529,6,2
url_only,baseline_majority,0.0,0.0,0.0,0.5,25130,0
url_only,decision_tree,0.9991602687140115,0.9943095901313171,0.9967290278830427,0.9968433425102645,143,21
url_only,logistic_regression,0.9995985225630319,0.9907680063668921,0.9951636756065388,0.9952356924427822,232,10
url_only,random_forest,0.9992003198720512,0.9944289693593314,0.9968089349820503,0.996917863198338,140,20
