,dtype,missing,unique_train,non_finite
URLLength,int64,0,456,0
DomainLength,int64,0,100,0
IsDomainIP,int64,0,2,0
TLDLength,int64,0,11,0
NoOfSubDomain,int64,0,10,0
HasObfuscation,int64,0,2,0
NoOfObfuscatedChar,int64,0,20,0
ObfuscationRatio,float64,0,134,0
NoOfLettersInURL,int64,0,396,0
LetterRatioInURL,float64,0,695,0
NoOfDegitsInURL,int64,0,172,0
DegitRatioInURL,float64,0,552,0
NoOfEqualsInURL,int64,0,23,0
NoOfQMarkInURL,int64,0,5,0
NoOfAmpersandInURL,int64,0,30,0
NoOfOtherSpecialCharsInURL,int64,0,70,0
SpacialCharRatioInURL,float64,0,233,0
IsHTTPS,int64,0,2,0
URLSimilarityIndex,float64,0,30172,0
TLDLegitimateProb,float64,0,456,0
URLCharProb,float64,0,171810,0
CharContinuationRate,float64,0,843,0
URLTitleMatchScore,float64,0,459,0
DomainTitleMatchScore,float64,0,150,0
LineOfCode,int64,0,9667,0
LargestLineLength,int64,0,23025,0
HasTitle,int64,0,2,0
HasFavicon,int64,0,2,0
Robots,int64,0,2,0
IsResponsive,int64,0,2,0
NoOfURLRedirect,int64,0,2,0
NoOfSelfRedirect,int64,0,2,0
HasDescription,int64,0,2,0
NoOfPopup,int64,0,106,0
NoOfiFrame,int64,0,104,0
HasExternalFormSubmit,int64,0,2,0
HasSocialNet,int64,0,2,0
HasSubmitButton,int64,0,2,0
HasHiddenFields,int64,0,2,0
HasPasswordField,int64,0,2,0
Bank,int64,0,2,0
Pay,int64,0,2,0
Crypto,int64,0,2,0
HasCopyrightInfo,int64,0,2,0
NoOfImage,int64,0,884,0
NoOfCSS,int64,0,194,0
NoOfJS,int64,0,240,0
NoOfSelfRef,int64,0,1255,0
NoOfEmptyRef,int64,0,271,0
NoOfExternalRef,int64,0,1075,0
