,count,mean,std,min,1%,50%,95%,99%,max
URLLength,176527.0,34.59921711692829,41.04866842592894,13.0,17.0,27.0,74.0,146.7399999999907,5794.0
DomainLength,176527.0,21.450911192055607,9.133469702376297,4.0,8.0,20.0,38.0,57.0,110.0
IsDomainIP,176527.0,0.002730460496128071,0.05218256899699048,0.0,0.0,0.0,0.0,0.0,1.0
TLDLength,176527.0,2.7647895222827104,0.5998936122569151,2.0,2.0,3.0,3.0,4.0,13.0
NoOfSubDomain,176527.0,1.164456428761606,0.6006478334199741,0.0,0.0,1.0,2.0,3.0,10.0
HasObfuscation,176527.0,0.0020903317906042704,0.04567246566972332,0.0,0.0,0.0,0.0,0.0,1.0
NoOfObfuscatedChar,176527.0,0.02865284064194146,2.1562061347803185,0.0,0.0,0.0,0.0,0.0,447.0
ObfuscationRatio,176527.0,0.0001479037201108046,0.0040440703730373825,0.0,0.0,0.0,0.0,0.0,0.348
NoOfLettersInURL,176527.0,19.434579412781048,27.483009227556714,0.0,4.0,14.0,50.0,100.0,4992.0
LetterRatioInURL,176527.0,0.515798246160644,0.12336604210538711,0.0,0.231,0.519,0.731,0.786,0.926
NoOfDegitsInURL,176527.0,1.894628017243821,12.84172760182032,0.0,0.0,0.0,10.0,27.0,2011.0
DegitRatioInURL,176527.0,0.028470403960867176,0.07059570441453585,0.0,0.0,0.0,0.179,0.339,0.684
NoOfEqualsInURL,176527.0,0.06345771468387272,1.0260399270317695,0.0,0.0,0.0,0.0,2.0,176.0
NoOfQMarkInURL,176527.0,0.0293722773286806,0.19342934607398846,0.0,0.0,0.0,0.0,1.0,4.0
NoOfAmpersandInURL,176527.0,0.026823092218187586,0.9278859195871648,0.0,0.0,0.0,0.0,0.0,149.0
NoOfOtherSpecialCharsInURL,176527.0,2.340202915134795,3.7124808779931793,0.0,1.0,1.0,7.0,13.0,499.0
SpacialCharRatioInURL,176527.0,0.06324597370373937,0.03229825155744613,0.0,0.027,0.05,0.128,0.157,0.397
IsHTTPS,176527.0,0.782911395990415,0.41226460535628096,0.0,0.0,1.0,1.0,1.0,1.0
URLSimilarityIndex,176527.0,78.48632600302967,28.970388211828574,0.155574352,8.220793797,100.0,100.0,100.0,100.0
TLDLegitimateProb,176527.0,0.2602931890050813,0.2515814553266003,0.0,3.7e-05,0.0799628,0.5229071,0.5229071,0.5229071
