column,dtype,missing_count,unique_count
FILENAME,object,0,235370
URL,object,0,235370
URLLength,int64,0,482
Domain,object,0,220086
DomainLength,int64,0,101
IsDomainIP,int64,0,2
TLD,object,0,695
URLSimilarityIndex,float64,0,36350
CharContinuationRate,float64,0,898
TLDLegitimateProb,float64,0,465
URLCharProb,float64,0,227293
TLDLength,int64,0,12
NoOfSubDomain,int64,0,10
HasObfuscation,int64,0,2
NoOfObfuscatedChar,int64,0,20
ObfuscationRatio,float64,0,146
NoOfLettersInURL,int64,0,421
LetterRatioInURL,float64,0,709
NoOfDegitsInURL,int64,0,182
DegitRatioInURL,float64,0,575
NoOfEqualsInURL,int64,0,25
NoOfQMarkInURL,int64,0,5
NoOfAmpersandInURL,int64,0,31
NoOfOtherSpecialCharsInURL,int64,0,74
SpacialCharRatioInURL,float64,0,240
IsHTTPS,int64,0,2
LineOfCode,int64,0,10738
LargestLineLength,int64,0,26178
HasTitle,int64,0,2
Title,object,0,197782
DomainTitleMatchScore,float64,0,152
URLTitleMatchScore,float64,0,497
HasFavicon,int64,0,2
Robots,int64,0,2
IsResponsive,int64,0,2
NoOfURLRedirect,int64,0,2
NoOfSelfRedirect,int64,0,2
HasDescription,int64,0,2
NoOfPopup,int64,0,115
NoOfiFrame,int64,0,119
HasExternalFormSubmit,int64,0,2
HasSocialNet,int64,0,2
HasSubmitButton,int64,0,2
HasHiddenFields,int64,0,2
HasPasswordField,int64,0,2
Bank,int64,0,2
Pay,int64,0,2
Crypto,int64,0,2
HasCopyrightInfo,int64,0,2
NoOfImage,int64,0,992
NoOfCSS,int64,0,209
NoOfJS,int64,0,253
NoOfSelfRef,int64,0,1374
NoOfEmptyRef,int64,0,296
NoOfExternalRef,int64,0,1191
label,int64,0,2
