feature_set,feature,training_mean,training_scale
full,URLLength,34.59921711692829,41.04855215837055
full,DomainLength,21.450911192055607,9.133443832445247
full,IsDomainIP,0.002730460496128071,0.05218242119341681
full,TLDLength,2.7647895222827104,0.599891913099104
full,NoOfSubDomain,1.164456428761606,0.6006461321258829
full,HasObfuscation,0.0020903317906042704,0.04567233630557407
full,NoOfObfuscatedChar,0.02865284064194146,2.1562000274732536
full,ObfuscationRatio,0.0001479037201108046,0.004044058918483404
full,NoOfLettersInURL,19.434579412781048,27.482931383804342
full,LetterRatioInURL,0.515798246160644,0.1233656926794726
full,NoOfDegitsInURL,1.894628017243821,12.84169122850126
full,DegitRatioInURL,0.028470403960867176,0.07059550445700982
full,NoOfEqualsInURL,0.06345771468387272,1.0260370208435372
full,NoOfQMarkInURL,0.0293722773286806,0.19342879819853592
full,NoOfAmpersandInURL,0.026823092218187586,0.9278832914134756
full,NoOfOtherSpecialCharsInURL,2.340202915134795,3.7124703626438684
full,SpacialCharRatioInURL,0.06324597370373937,0.03229816007484772
full,IsHTTPS,0.782911395990415,0.4122634376448566
full,URLSimilarityIndex,78.48632600302967,28.9703061551765
full,TLDLegitimateProb,0.2602931890050813,0.2515807427392578
full,URLCharProb,0.055765904302786544,0.010575637777264224
full,CharContinuationRate,0.8456861327638264,0.21632477494010469
full,URLTitleMatchScore,52.17765434579022,49.593966057290416
full,DomainTitleMatchScore,50.19007925126435,49.67319995986727
full,LineOfCode,1146.7982858146345,3628.9276482090463
full,LargestLineLength,12790.382321118015,152819.13012125963
full,HasTitle,0.8615679187886273,0.3453529210863297
full,HasFavicon,0.3620465991038198,0.48059219633820294
full,Robots,0.26725090212828634,0.44252441451280794
full,IsResponsive,0.6248675839956493,0.4841570886262943
full,NoOfURLRedirect,0.133231743585967,0.339825022749959
full,NoOfSelfRedirect,0.03995422796512715,0.19585169805962319
full,HasDescription,0.44073711103683855,0.49647548780553097
full,NoOfPopup,0.2280274405615005,4.124414230899985
full,NoOfiFrame,1.5870093526769276,5.951293832519588
full,HasExternalFormSubmit,0.04401592957451268,0.2051305133767383
full,HasSocialNet,0.4577316784401253,0.4982101855567698
full,HasSubmitButton,0.4155341675777643,0.4928138828738683
full,HasHiddenFields,0.3781631138579368,0.4849286268877162
full,HasPasswordField,0.10230729576778623,0.303051997189375
full,Bank,0.12728364499481665,0.3332904419746389
full,Pay,0.2370005721504359,0.4252426377385057
full,Crypto,0.02341851388172914,0.1512285921686121
full,HasCopyrightInfo,0.4879763435621746,0.49985541077982254
full,NoOfImage,26.0455001217944,76.74938295653438
full,NoOfCSS,6.3977465203623245,86.25699445328338
full,NoOfJS,10.551519031083064,24.018013760871852
full,NoOfSelfRef,65.09248443580869,168.64664187500784
full,NoOfEmptyRef,2.393350592260674,18.805469863229682
full,NoOfExternalRef,49.28607521795533,152.88653040864804
no_derived,URLLength,34.59921711692829,41.04855215837055
no_derived,DomainLength,21.450911192055607,9.133443832445247
no_derived,IsDomainIP,0.002730460496128071,0.05218242119341681
no_derived,TLDLength,2.7647895222827104,0.599891913099104
no_derived,NoOfSubDomain,1.164456428761606,0.6006461321258829
no_derived,HasObfuscation,0.0020903317906042704,0.04567233630557407
no_derived,NoOfObfuscatedChar,0.02865284064194146,2.1562000274732536
no_derived,ObfuscationRatio,0.0001479037201108046,0.004044058918483404
no_derived,NoOfLettersInURL,19.434579412781048,27.482931383804342
no_derived,LetterRatioInURL,0.515798246160644,0.1233656926794726
no_derived,NoOfDegitsInURL,1.894628017243821,12.84169122850126
no_derived,DegitRatioInURL,0.028470403960867176,0.07059550445700982
no_derived,NoOfEqualsInURL,0.06345771468387272,1.0260370208435372
no_derived,NoOfQMarkInURL,0.0293722773286806,0.19342879819853592
no_derived,NoOfAmpersandInURL,0.026823092218187586,0.9278832914134756
no_derived,NoOfOtherSpecialCharsInURL,2.340202915134795,3.7124703626438684
no_derived,SpacialCharRatioInURL,0.06324597370373937,0.03229816007484772
no_derived,IsHTTPS,0.782911395990415,0.4122634376448566
no_derived,LineOfCode,1146.7982858146345,3628.9276482090463
no_derived,LargestLineLength,12790.382321118015,152819.13012125963
no_derived,HasTitle,0.8615679187886273,0.3453529210863297
no_derived,HasFavicon,0.3620465991038198,0.48059219633820294
no_derived,Robots,0.26725090212828634,0.44252441451280794
no_derived,IsResponsive,0.6248675839956493,0.4841570886262943
no_derived,NoOfURLRedirect,0.133231743585967,0.339825022749959
no_derived,NoOfSelfRedirect,0.03995422796512715,0.19585169805962319
no_derived,HasDescription,0.44073711103683855,0.49647548780553097
no_derived,NoOfPopup,0.2280274405615005,4.124414230899985
no_derived,NoOfiFrame,1.5870093526769276,5.951293832519588
no_derived,HasExternalFormSubmit,0.04401592957451268,0.2051305133767383
no_derived,HasSocialNet,0.4577316784401253,0.4982101855567698
no_derived,HasSubmitButton,0.4155341675777643,0.4928138828738683
no_derived,HasHiddenFields,0.3781631138579368,0.4849286268877162
no_derived,HasPasswordField,0.10230729576778623,0.303051997189375
no_derived,Bank,0.12728364499481665,0.3332904419746389
no_derived,Pay,0.2370005721504359,0.4252426377385057
no_derived,Crypto,0.02341851388172914,0.1512285921686121
no_derived,HasCopyrightInfo,0.4879763435621746,0.49985541077982254
no_derived,NoOfImage,26.0455001217944,76.74938295653438
no_derived,NoOfCSS,6.3977465203623245,86.25699445328338
no_derived,NoOfJS,10.551519031083064,24.018013760871852
no_derived,NoOfSelfRef,65.09248443580869,168.64664187500784
no_derived,NoOfEmptyRef,2.393350592260674,18.805469863229682
no_derived,NoOfExternalRef,49.28607521795533,152.88653040864804
url_only,URLLength,34.59921711692829,41.04855215837055
url_only,DomainLength,21.450911192055607,9.133443832445247
url_only,IsDomainIP,0.002730460496128071,0.05218242119341681
url_only,TLDLength,2.7647895222827104,0.599891913099104
url_only,NoOfSubDomain,1.164456428761606,0.6006461321258829
url_only,HasObfuscation,0.0020903317906042704,0.04567233630557407
url_only,NoOfObfuscatedChar,0.02865284064194146,2.1562000274732536
url_only,ObfuscationRatio,0.0001479037201108046,0.004044058918483404
url_only,NoOfLettersInURL,19.434579412781048,27.482931383804342
url_only,LetterRatioInURL,0.515798246160644,0.1233656926794726
url_only,NoOfDegitsInURL,1.894628017243821,12.84169122850126
url_only,DegitRatioInURL,0.028470403960867176,0.07059550445700982
url_only,NoOfEqualsInURL,0.06345771468387272,1.0260370208435372
url_only,NoOfQMarkInURL,0.0293722773286806,0.19342879819853592
url_only,NoOfAmpersandInURL,0.026823092218187586,0.9278832914134756
url_only,NoOfOtherSpecialCharsInURL,2.340202915134795,3.7124703626438684
url_only,SpacialCharRatioInURL,0.06324597370373937,0.03229816007484772
url_only,IsHTTPS,0.782911395990415,0.4122634376448566
